@Relation spamBois

@ATTRIBUTE lineCount NUMERIC
@ATTRIBUTE maxRepeatedWordCount NUMERIC
@ATTRIBUTE maxRepeatedCapitalWordCount NUMERIC
@ATTRIBUTE capitalCharTotal NUMERIC
@ATTRIBUTE capitalRunTotal NUMERIC
@ATTRIBUTE minCapitalRun NUMERIC
@ATTRIBUTE maxCapitalRun NUMERIC
@ATTRIBUTE averageWordLengh NUMERIC
@ATTRIBUTE minWordLength NUMERIC
@ATTRIBUTE maxWordLength NUMERIC
@ATTRIBUTE numberCount NUMERIC
@ATTRIBUTE alphaCount NUMERIC
@ATTRIBUTE alphaNumCount NUMERIC
@ATTRIBUTE alphaWordCount NUMERIC
@ATTRIBUTE charSeq1 NUMERIC
@ATTRIBUTE charSeq2 NUMERIC
@ATTRIBUTE charSeq3 NUMERIC
@ATTRIBUTE charSeq4 NUMERIC
@ATTRIBUTE charSeq5 NUMERIC
@ATTRIBUTE charSeq6 NUMERIC
@ATTRIBUTE charSeq7 NUMERIC
@ATTRIBUTE charSeq8 NUMERIC
@ATTRIBUTE charSeq9 NUMERIC
@ATTRIBUTE whiteSpaceCount NUMERIC
@ATTRIBUTE spam {T,F}


@DATA
1.0,7.0,1.0,0.02631578947368421,0.2,1.0,1.0,6.4,4.0,9.0,0.0,0.8421052631578947,0.8421052631578947,1.0,6.4,3.0,1.8,1.4,0.6,0.6,0.6,0.4,0.2,0.13157894736842105,F
114.0,3.0,1.0,2.316423442205235E-4,0.0023094688221709007,1.0,1.0,3.678983833718245,1.0,13.0,0.7274826789838337,0.296038915913829,0.3690062543432939,0.605080831408776,2.951501154734411,1.2933025404157044,0.7759815242494227,0.45265588914549654,0.325635103926097,0.21709006928406466,0.12933025404157045,0.09006928406466513,0.050808314087759814,0.3655316191799861,F
2.0,5.0,1.0,0.012987012987012988,0.09090909090909091,1.0,1.0,5.545454545454546,1.0,10.0,0.09090909090909091,0.7792207792207793,0.7922077922077922,0.9090909090909091,5.454545454545454,2.3636363636363638,1.5454545454545454,0.8181818181818182,0.8181818181818182,0.45454545454545453,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.16883116883116883,F
29.0,3.0,1.0,8.389261744966443E-4,0.0056179775280898875,1.0,1.0,3.7808988764044944,1.0,11.0,0.38202247191011235,0.5075503355704698,0.5645973154362416,0.7696629213483146,3.398876404494382,1.4887640449438202,0.9044943820224719,0.4606741573033708,0.3089887640449438,0.24719101123595505,0.12359550561797752,0.056179775280898875,0.033707865168539325,0.29194630872483224,F
25.0,3.0,1.0,8.620689655172414E-4,0.005847953216374269,1.0,1.0,4.0,1.0,10.0,0.34502923976608185,0.5387931034482759,0.5896551724137931,0.7953216374269005,3.654970760233918,1.5730994152046784,0.9181286549707602,0.543859649122807,0.38596491228070173,0.21052631578947367,0.15789473684210525,0.11695906432748537,0.05263157894736842,0.27844827586206894,F
13.0,3.0,1.0,0.0017574692442882249,0.009615384615384616,1.0,1.0,4.038461538461538,1.0,10.0,0.22115384615384615,0.6977152899824253,0.7381370826010545,0.8942307692307693,3.8173076923076925,1.6923076923076923,0.9423076923076923,0.5673076923076923,0.3557692307692308,0.22115384615384615,0.14423076923076922,0.0673076923076923,0.019230769230769232,0.22144112478031636,F
13.0,2.0,1.0,0.002257336343115124,0.012658227848101266,1.0,1.0,4.1645569620253164,1.0,11.0,1.0632911392405062,0.5530474040632054,0.7426636568848759,0.6582278481012658,3.1012658227848102,1.379746835443038,0.7974683544303798,0.5063291139240507,0.26582278481012656,0.20253164556962025,0.189873417721519,0.08860759493670886,0.06329113924050633,0.21670428893905191,F
27.0,3.0,1.0,7.117437722419929E-4,0.004830917874396135,1.0,1.0,4.458937198067633,1.0,12.0,0.7053140096618358,0.5530249110320284,0.6569395017793594,0.8067632850241546,3.753623188405797,1.5990338164251208,1.0531400966183575,0.5169082125603864,0.36231884057971014,0.27053140096618356,0.15942028985507245,0.08695652173913043,0.06763285024154589,0.24483985765124555,F
25.0,2.0,1.0,6.108735491753207E-4,0.003401360544217687,1.0,1.0,4.312925170068027,1.0,13.0,0.15306122448979592,0.7470983506414173,0.7745876603543067,0.9183673469387755,4.159863945578231,1.870748299319728,1.0374149659863945,0.6802721088435374,0.40816326530612246,0.22108843537414966,0.13945578231292516,0.12244897959183673,0.11224489795918367,0.20219914477703116,F
46.0,3.0,1.0,3.255208333333333E-4,0.0019455252918287938,1.0,1.0,4.464980544747082,1.0,15.0,0.054474708171206226,0.7379557291666666,0.7470703125,0.933852140077821,4.410505836575876,1.9474708171206225,1.1653696498054475,0.6712062256809338,0.4357976653696498,0.30544747081712065,0.20428015564202334,0.12840466926070038,0.08754863813229571,0.2099609375,F
